index,company_name,industry,revenue_range,hg_rank,hg_score,imd_rank,imd_score,total_jobs,ai_jobs,ai_job_ratio
126,tiktok,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",127,33,,,,,
127,standard chartered bank,Banking and Financial Services,"Over $1,000,000,000",128,32,107.0,44.0,,,
128,daimler,Manufacturing,"Over $1,000,000,000",129,32,,,,,
129,deutsche bank,Banking and Financial Services,"Over $1,000,000,000",130,32,51.0,53.0,,,
130,pnc financial services,Banking and Financial Services,"Over $1,000,000,000",131,32,264.0,25.0,,,
131,medtronic,Manufacturing,"Over $1,000,000,000",132,32,68.0,50.0,,,
132,ebay,Retail Trade,"Over $1,000,000,000",133,32,,,,,
133,caterpillar,Manufacturing,"Over $1,000,000,000",134,32,300.0,1.0,,,
134,university of washington,Educational Services,"Over $1,000,000,000",135,32,,,,,
135,aarp,Industry Associations,"Over $1,000,000,000",136,32,,,,,
136,abbvie,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000",137,32,248.0,27.0,,,
137,publicis sapient,"Professional, Scientific and Technical Services","$500,000,000 to $999,999,999",138,31,,,,,
138,saxon ai,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",139,31,,,,,
139,publicis worldwide,,,140,31,,,,,
140,arrow electronics,Wholesale Trade,"Over $1,000,000,000",141,31,,,,,
141,tieto,"Professional, Scientific and Technical Services","Over $1,000,000,000",142,31,,,,,
142,synchrony financial,Banking and Financial Services,"Over $1,000,000,000",143,31,,,,,
143,northrop grumman,Manufacturing,"Over $1,000,000,000",144,31,,,,,
144,liberty mutual,Insurance,"Over $1,000,000,000",145,31,,,,,
145,ge healthcare,Manufacturing,"Over $1,000,000,000",146,31,194.0,33.0,,,
146,bell,Telecommunications,"$500,000,000 to $999,999,999",147,31,,,,,
147,spectrum management,Media and Entertainment,"Over $1,000,000,000",148,31,,,,,
148,sony,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",149,31,9.0,75.0,,,
149,charles schwab,Banking and Financial Services,"Over $1,000,000,000",150,31,199.0,32.0,,,
150,national grid,Utilities,"Over $1,000,000,000",151,31,163.0,37.0,,,
151,carnegie mellon university,Educational Services,"Over $1,000,000,000",152,31,,,,,
152,university of michigan concussion center,Educational Services,"Over $1,000,000,000",153,31,,,,,
153,advanced micro devices,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",154,31,,,,,
154,tiaa,Insurance,"Over $1,000,000,000",155,31,,,,,
155,abb,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",156,31,67.0,50.0,,,
156,daimler,Manufacturing,"Over $1,000,000,000",157,31,,,,,
157,bytedance,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",158,31,,,,,
158,toronto-dominion bank,Banking and Financial Services,"Over $1,000,000,000",159,31,,,,,
159,acme transport,Transportation and Warehousing,"$10,000,000 to $49,999,999",160,31,,,,,
160,toyota motor,Manufacturing,"Over $1,000,000,000",161,30,158.0,38.0,,,
161,ally financial,Banking and Financial Services,"Over $1,000,000,000",162,30,,,,,
162,servicenow,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",163,30,,,,,
163,larsen toubro,Construction and Real Estate,"Over $1,000,000,000",164,30,,,,,
164,equifax,"Professional, Scientific and Technical Services","Over $1,000,000,000",165,30,,,,,
165,usc marshall school of business,Educational Services,"Over $1,000,000,000",166,30,,,,,
166,sanofi,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000",167,30,58.0,52.0,,,
167,relx,"Professional, Scientific and Technical Services","Over $1,000,000,000",168,30,,,,,
168,tencent,Media and Entertainment,"Over $1,000,000,000",169,30,8.0,76.0,,,
169,airbus,Manufacturing,"Over $1,000,000,000",170,30,234.0,28.0,,,
170,money fit by drs,,,171,30,,,,,
171,eli lilly,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000",172,30,50.0,54.0,,,
172,epam systems,"Professional, Scientific and Technical Services","Over $1,000,000,000",173,30,,,,,
173,bristol-myers squibb,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000",174,30,,,,,
174,tek ninjas,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",175,30,,,,,
175,nus business school,Educational Services,"$500,000,000 to $999,999,999",176,30,,,,,
176,london stock exchange,Banking and Financial Services,"Over $1,000,000,000",177,30,,,,,
177,bayer,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000",178,30,,,,,
178,syntricate technologies,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",179,30,,,,,
179,change leader,Educational Services,"$1,000,000 to $9,999,999",180,29,,,,,
180,bank of nova scotia,Banking and Financial Services,"Over $1,000,000,000",181,29,227.0,29.0,,,
181,cox communications,Media and Entertainment,"Over $1,000,000,000",182,29,,,,,
182,dbs bank,Banking and Financial Services,"Over $1,000,000,000",183,29,259.0,26.0,,,
183,itechpost,Media and Entertainment,"$10,000,000 to $49,999,999",184,29,,,,,
184,bnp paribas,Banking and Financial Services,"Over $1,000,000,000",185,29,44.0,55.0,,,
185,ursus s a,Manufacturing,"$10,000,000 to $49,999,999",186,29,,,,,
186,applied materials,Manufacturing,"Over $1,000,000,000",187,29,206.0,32.0,,,
187,arizona state university,Educational Services,"Over $1,000,000,000",188,29,,,,,
188,decrypt,Computer and Electronic Product Manufacturing,"$1,000,000 to $9,999,999",189,29,,,,,
189,metlife,Insurance,"Over $1,000,000,000",190,29,145.0,39.0,,,
190,procter gamble,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000",191,29,165.0,36.0,,,
191,3m,Manufacturing,"Over $1,000,000,000",192,29,,,,,
192,genisights pvt,"Professional, Scientific and Technical Services","Less than $1,000,000",193,29,,,,,
193,nestle,Manufacturing,"Over $1,000,000,000",194,29,235.0,28.0,,,
194,optimhire,"Professional, Scientific and Technical Services","$50,000,000 to $99,999,999",195,29,,,,,
195,prolim,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",196,29,,,,,
196,allstate,Insurance,"Over $1,000,000,000",197,29,164.0,37.0,,,
197,fannie mae,Banking and Financial Services,"Over $1,000,000,000",198,29,,,,,
198,elevance health,Insurance,"Over $1,000,000,000",199,29,247.0,28.0,,,
199,axa,Insurance,"Over $1,000,000,000",200,29,82.0,48.0,,,
200,ilitch companies,Manufacturing,"$1,000,000 to $9,999,999",201,29,,,,,
201,expedia media solutions,Travel and Tourism,"Over $1,000,000,000",202,29,,,,,
202,axtria - ingenious insights,"Professional, Scientific and Technical Services","$50,000,000 to $99,999,999",203,29,,,,,
203,new york university,Educational Services,"Over $1,000,000,000",204,29,,,,,
204,lenovo,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",205,29,,,,,
205,verisk analytics,"Professional, Scientific and Technical Services","Over $1,000,000,000",206,29,,,,,
206,maximus,"Professional, Scientific and Technical Services","Over $1,000,000,000",207,28,,,,,
207,manulife financial,Insurance,"Over $1,000,000,000",208,28,,,,,
208,pearson,Media and Entertainment,"Over $1,000,000,000",209,28,,,,,
209,geico,Insurance,"Over $1,000,000,000",210,28,,,,,
210,autodesk,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",211,28,,,,,
211,united services automobile assn,Insurance,"Over $1,000,000,000",212,28,,,,,
212,sharpedge solutions,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",213,28,,,,,
213,koantek,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",214,28,,,,,
214,enterprise,Service Industry,"Over $1,000,000,000",215,28,,,,,
215,nationwide,Insurance,"Over $1,000,000,000",216,28,,,,,
216,aetna,Insurance,"Over $1,000,000,000",217,28,,,,,
217,massachusetts institute of technology,Educational Services,"Over $1,000,000,000",218,28,,,,,
218,unilever,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000",219,28,188.0,33.0,,,
219,movistar,Telecommunications,"Over $1,000,000,000",220,28,,,,,
220,freddie mac,Banking and Financial Services,"Over $1,000,000,000",221,28,,,,,
221,chubb,Insurance,"Over $1,000,000,000",222,28,279.0,19.0,,,
222,apex mfg,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",223,28,,,,,
223,rtx - resort travel xchange,Travel and Tourism,"$10,000,000 to $49,999,999",224,27,,,,,
224,john deere,Manufacturing,"Over $1,000,000,000",225,27,94.0,46.0,,,
225,rocken tech products,,"$1,000,000 to $9,999,999",226,27,,,,,
226,association for advancement of artificial intelligence aaai,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",227,27,,,,,
227,snowflake,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",228,27,,,,,
228,klaviyo,Computer and Electronic Product Manufacturing,"$500,000,000 to $999,999,999",229,27,,,,,
229,lexisnexis,"Professional, Scientific and Technical Services","Over $1,000,000,000",230,27,,,,,
230,best buy,Retail Trade,"Over $1,000,000,000",231,27,,,,,
231,telstra,Telecommunications,"Over $1,000,000,000",232,27,,,,,
232,citizens financial,Banking and Financial Services,"Over $1,000,000,000",233,27,,,,,
233,national black mba association,,"$100,000,000 to $199,999,999",234,27,,,,,
234,dish network,Telecommunications,"Over $1,000,000,000",235,27,,,,,
235,banco santander,Banking and Financial Services,"Over $1,000,000,000",236,27,92.0,46.0,,,
236,allianz versicherung,Insurance,"Over $1,000,000,000",237,27,,,,,
237,x,"Professional, Scientific and Technical Services","Over $1,000,000,000",238,27,,,,,
238,kubrick,"Professional, Scientific and Technical Services","$50,000,000 to $99,999,999",239,27,,,,,
239,autoronto,Educational Services,"Over $1,000,000,000",240,27,,,,,
240,target,Retail Trade,"Over $1,000,000,000",241,27,184.0,34.0,,,
241,natwest,Banking and Financial Services,"Over $1,000,000,000",242,27,97.0,46.0,,,
242,zs,"Professional, Scientific and Technical Services","$200,000,000 to $499,999,999",243,27,,,,,
243,bp,Mining and Natural Resources,"Over $1,000,000,000",244,27,263.0,25.0,,,
