index,company_name,industry,revenue_range,hg_rank,hg_score,imd_rank,imd_score,total_jobs,ai_jobs,ai_job_ratio
322,novo nordisk a s,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000",323,24,69.0,50.0,,,
323,amaze systems,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",324,24,,,,,
324,siemens,Manufacturing,"Over $1,000,000,000",325,24,,,,,
325,genesys,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",326,24,,,,,
326,coca-cola,Manufacturing,"Over $1,000,000,000",327,24,243.0,28.0,,,
327,apartment association of orange county,Industry Associations,"$1,000,000 to $9,999,999",328,24,,,,,
328,kansas action for children,Public Administration,"$1,000,000 to $9,999,999",329,24,,,,,
329,massgenics,Public Administration,"Less than $1,000,000",330,24,,,,,
330,beinex,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",331,24,,,,,
331,pratt whitney,Manufacturing,"$200,000,000 to $499,999,999",332,24,,,,,
332,johns hopkins university,Educational Services,"Over $1,000,000,000",333,24,,,,,
333,change healthcare,"Professional, Scientific and Technical Services","Over $1,000,000,000",334,24,,,,,
334,purdue university,Educational Services,"Over $1,000,000,000",335,24,,,,,
335,exarca,Computer and Electronic Product Manufacturing,"$10,000,000 to $49,999,999",336,24,,,,,
336,cardinal health,Wholesale Trade,"Over $1,000,000,000",337,24,,,,,
337,gilbert sun news,Media and Entertainment,"$1,000,000 to $9,999,999",338,24,,,,,
338,photon,"Professional, Scientific and Technical Services","$100,000,000 to $199,999,999",339,24,,,,,
339,chevron,Mining and Natural Resources,"Over $1,000,000,000",340,24,169.0,35.0,,,
340,u s department of state,Public Administration,"Over $1,000,000,000",341,24,,,,,
341,dignify solutions,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",342,24,,,,,
342,crescendo global,Service Industry,"$10,000,000 to $49,999,999",343,24,,,,,
343,college of charleston,Educational Services,"$200,000,000 to $499,999,999",344,24,,,,,
344,maryland state government,Public Administration,"Over $1,000,000,000",345,24,,,,,
345,pulivarthigroup com,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",346,24,,,,,
346,seagate technology,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",347,23,,,,,
347,lexisnexis,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",348,23,,,,,
348,vcloud technology,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",349,23,,,,,
349,panasonic,Wholesale Trade,"Over $1,000,000,000",350,23,,,,,
350,zoom video communications,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",351,23,,,,,
351,boston scientific,Manufacturing,"Over $1,000,000,000",352,23,,,,,
352,tamu,Educational Services,"Over $1,000,000,000",353,23,,,,,
353,zhejiang lab,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",354,23,,,,,
354,marktine technology solutions pvt,,"$1,000,000 to $9,999,999",355,23,,,,,
355,instadeep,Computer and Electronic Product Manufacturing,"$1,000,000 to $9,999,999",356,23,,,,,
356,acxiom,"Professional, Scientific and Technical Services","$500,000,000 to $999,999,999",357,23,,,,,
357,alcon,Manufacturing,"Over $1,000,000,000",358,23,,,,,
358,western digital,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",359,23,,,,,
359,schlumberger n v,Mining and Natural Resources,"Over $1,000,000,000",360,23,,,,,
360,american,Insurance,"Over $1,000,000,000",361,23,195.0,33.0,,,
361,societe generale,Banking and Financial Services,"Over $1,000,000,000",362,23,159.0,37.0,,,
362,zuva,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",363,23,,,,,
363,baker hughes,Mining and Natural Resources,"Over $1,000,000,000",364,23,,,,,
364,civenty,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",365,23,,,,,
365,ricoh electronics,Manufacturing,"Over $1,000,000,000",366,23,,,,,
366,best western plus clock tower inn,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",367,23,,,,,
367,red global,Service Industry,"$100,000,000 to $199,999,999",368,23,,,,,
368,entity academy,Computer and Electronic Product Manufacturing,"$1,000,000 to $9,999,999",369,23,,,,,
369,it engagements,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",370,23,,,,,
370,explore ai,,Unknown,371,23,,,,,
371,agoda pte,Travel and Tourism,"$200,000,000 to $499,999,999",372,23,,,,,
372,kantar,"Professional, Scientific and Technical Services","Over $1,000,000,000",373,23,,,,,
373,mars,Manufacturing,"Over $1,000,000,000",374,23,,,,,
374,emerson electric,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",375,23,,,,,
375,svb financial,Banking and Financial Services,"Over $1,000,000,000",376,23,299.0,5.0,,,
376,becton dickinson,Manufacturing,"Over $1,000,000,000",377,23,,,,,
377,longwood university,Educational Services,"$100,000,000 to $199,999,999",378,23,,,,,
378,hexaquest global,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",379,23,,,,,
379,neal analytics,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",380,23,,,,,
380,asu gsv summit,Banking and Financial Services,"$1,000,000 to $9,999,999",381,23,,,,,
381,datasumi,,,382,23,,,,,
382,block xyz,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",383,23,,,,,
383,govtech singapore,"Professional, Scientific and Technical Services","$200,000,000 to $499,999,999",384,23,,,,,
384,slac national accelerator laboratory,Public Administration,"Over $1,000,000,000",385,23,,,,,
385,dominos pizza,Retail Trade,"Over $1,000,000,000",386,23,,,,,
386,latrobe financial management,Banking and Financial Services,"Over $1,000,000,000",387,23,,,,,
387,tesla motors,Manufacturing,"Over $1,000,000,000",388,23,,,,,
388,studyinternational com,Computer and Electronic Product Manufacturing,"$1,000,000 to $9,999,999",389,23,,,,,
389,emd performance materials,Pharmaceuticals and Chemicals Manufacturing,"$100,000,000 to $199,999,999",390,23,,,,,
390,expedia,Travel and Tourism,"Over $1,000,000,000",391,23,,,,,
391,fixity technologies,Computer and Electronic Product Manufacturing,"$10,000,000 to $49,999,999",392,23,,,,,
392,dassault systemes,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",393,22,,,,,
393,cdo magazine,Media and Entertainment,"$1,000,000 to $9,999,999",394,22,,,,,
394,response informatics,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",395,22,,,,,
395,crowe horwath llp,"Professional, Scientific and Technical Services","Over $1,000,000,000",396,22,,,,,
396,keycorp,Banking and Financial Services,"Over $1,000,000,000",397,22,,,,,
397,sony interactive entertainment,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",398,22,,,,,
398,bayerische motoren werke,Manufacturing,"Over $1,000,000,000",399,22,,,,,
399,procorp systems,,"$1,000,000 to $9,999,999",400,22,,,,,
400,blockchains,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",401,22,,,,,
401,ssi people,Service Industry,"$50,000,000 to $99,999,999",402,22,,,,,
402,northwestern mutual,Insurance,"Over $1,000,000,000",403,22,,,,,
403,point32health,Insurance,"Over $1,000,000,000",404,22,,,,,
404,bt,Telecommunications,"Over $1,000,000,000",405,22,,,,,
405,marcum-illinois union school district,Educational Services,"$1,000,000 to $9,999,999",406,22,,,,,
406,stryker,Manufacturing,"Over $1,000,000,000",407,22,,,,,
407,dhl,Transportation and Warehousing,"Over $1,000,000,000",408,22,,,,,
408,john wiley sons,Media and Entertainment,"Over $1,000,000,000",409,22,,,,,
409,marketscope,,"$10,000,000 to $49,999,999",410,22,,,,,
410,transorg analytics,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",411,22,,,,,
411,transunion,"Professional, Scientific and Technical Services","Over $1,000,000,000",412,22,,,,,
412,codvo ai,Computer and Electronic Product Manufacturing,"$10,000,000 to $49,999,999",413,22,,,,,
413,syren cloud,Computer and Electronic Product Manufacturing,"$10,000,000 to $49,999,999",414,22,,,,,
414,pryon,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",415,22,,,,,
415,nisum,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",416,22,,,,,
416,phaidra,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",417,22,,,,,
417,tekvivid,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",418,22,,,,,
418,cvs health,Retail Trade,"Over $1,000,000,000",419,22,,,,,
419,coursera,Computer and Electronic Product Manufacturing,"$500,000,000 to $999,999,999",420,22,,,,,
420,pacific northwest national laboratory,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",421,22,,,,,
421,sirius xm,Media and Entertainment,"Over $1,000,000,000",422,22,,,,,
422,duke department of population health sciences,Educational Services,"Over $1,000,000,000",423,22,,,,,
423,goli technologies,"Professional, Scientific and Technical Services","Less than $1,000,000",424,22,,,,,
424,allegheny health network,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",425,22,,,,,
425,hca,Health Care and Social Assistance,"Over $1,000,000,000",426,22,,,,,
426,forward eye technologies,Educational Services,"$1,000,000 to $9,999,999",427,22,,,,,
427,lily ai,Computer and Electronic Product Manufacturing,"$10,000,000 to $49,999,999",428,22,,,,,
428,lg electronics,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",429,22,,,,,
429,electronic arts,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",430,22,,,,,
430,blackhistory com,Service Industry,"$1,000,000 to $9,999,999",431,22,,,,,
431,global payments systems,Banking and Financial Services,"Over $1,000,000,000",432,22,,,,,
432,spiceorb,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",433,22,,,,,
433,akka technologies,"Professional, Scientific and Technical Services","Over $1,000,000,000",434,22,,,,,
434,expleo,"Professional, Scientific and Technical Services","$100,000,000 to $199,999,999",435,22,,,,,
435,university of florida college of medicine,Educational Services,"Over $1,000,000,000",436,22,,,,,
436,fusemachines,Computer and Electronic Product Manufacturing,"$50,000,000 to $99,999,999",437,22,,,,,
437,aaa-the auto club,Insurance,"Over $1,000,000,000",438,22,,,,,
438,collins aerospace,Manufacturing,,439,22,,,,,
439,corning,Manufacturing,"Over $1,000,000,000",440,22,,,,,
440,cox enterprises,Media and Entertainment,"Over $1,000,000,000",441,22,,,,,
441,huntington ingalls industries,Manufacturing,"Over $1,000,000,000",442,22,,,,,
442,veri bilimi okulu,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",443,22,,,,,
443,open data science conference odsc,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",444,22,,,,,
444,osttra,"Professional, Scientific and Technical Services","$100,000,000 to $199,999,999",445,22,,,,,
445,addsource,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",446,22,,,,,
446,scribble data,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",447,22,,,,,
447,baxter,Manufacturing,"Over $1,000,000,000",448,22,,,,,
448,aixventures com,Banking and Financial Services,"Less than $1,000,000",449,22,,,,,
449,new york life insurance,Insurance,"Over $1,000,000,000",450,22,,,,,
450,eliiza,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",451,22,,,,,
451,kdnuggets,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",452,22,,,,,
452,creeno solutions pvt,Computer and Electronic Product Manufacturing,"$10,000,000 to $49,999,999",453,22,,,,,
453,linkedin,"Professional, Scientific and Technical Services","Over $1,000,000,000",454,22,,,,,
454,isomorphic labs,,"$10,000,000 to $49,999,999",455,22,,,,,
455,go to services,Construction and Real Estate,"$10,000,000 to $49,999,999",456,22,,,,,
456,g42,"Professional, Scientific and Technical Services","$50,000,000 to $99,999,999",457,22,,,,,
457,sbcs india,Educational Services,,458,22,,,,,
458,temus,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",459,22,,,,,
459,cbs,Media and Entertainment,"Over $1,000,000,000",460,22,,,,,
460,areti,,,461,22,,,,,
461,clarivate,"Professional, Scientific and Technical Services","$200,000,000 to $499,999,999",462,22,,,,,
462,moody college of communication,Educational Services,"Over $1,000,000,000",463,22,,,,,
463,gignow,Computer and Electronic Product Manufacturing,"$1,000,000 to $9,999,999",464,22,,,,,
464,cerebras systems,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",465,22,,,,,
465,ballotpedia,Public Administration,Unknown,466,22,,,,,
466,tibco software,"Professional, Scientific and Technical Services","Over $1,000,000,000",467,22,,,,,
467,women in data,"Professional, Scientific and Technical Services","Less than $1,000,000",468,22,,,,,
468,canadian imperial bank of commerce can,Banking and Financial Services,"Over $1,000,000,000",469,22,,,,,
469,new york city department of transportation,Public Administration,"Over $1,000,000,000",470,22,,,,,
470,noodle ai,Computer and Electronic Product Manufacturing,"$10,000,000 to $49,999,999",471,21,,,,,
471,wiseanalytics io,,"$1,000,000 to $9,999,999",472,21,,,,,
472,stitched insights,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",473,21,,,,,
473,global pharma tek,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",474,21,,,,,
474,zendesk,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",475,21,,,,,
475,exxon mobil,Mining and Natural Resources,"Over $1,000,000,000",476,21,219.0,30.0,,,
476,phygital insights,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",477,21,,,,,
477,morgan state university,Educational Services,"$50,000,000 to $99,999,999",478,21,,,,,
478,tek inspirations,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",479,21,,,,,
479,california state government,Public Administration,"Over $1,000,000,000",480,21,,,,,
480,telekom shop,Telecommunications,"Over $1,000,000,000",481,21,,,,,
481,palo alto networks,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",482,21,,,,,
482,directv,Media and Entertainment,"Over $1,000,000,000",483,21,,,,,
483,metyis,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",484,21,,,,,
484,morningstar,Banking and Financial Services,"Over $1,000,000,000",485,21,,,,,
485,entergy,Utilities,"Over $1,000,000,000",486,21,,,,,
486,el michoacano,Travel and Tourism,"Over $1,000,000,000",487,21,,,,,
487,altfi,Banking and Financial Services,"$1,000,000 to $9,999,999",488,21,,,,,
488,umd,Public Administration,"Over $1,000,000,000",489,21,,,,,
489,prevalent ai,Computer and Electronic Product Manufacturing,"$1,000,000 to $9,999,999",490,21,,,,,
490,arm,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",491,21,,,,,
491,gm financial,Banking and Financial Services,"Over $1,000,000,000",492,21,176.0,35.0,,,
492,cotiviti,Telecommunications,"$500,000,000 to $999,999,999",493,21,,,,,
493,overture rede,,"$1,000,000 to $9,999,999",494,21,,,,,
494,truefoundry com,Computer and Electronic Product Manufacturing,"$1,000,000 to $9,999,999",495,21,,,,,
495,first republic bank,Banking and Financial Services,"Over $1,000,000,000",496,21,,,,,
496,wyetech,Computer and Electronic Product Manufacturing,"$10,000,000 to $49,999,999",497,21,,,,,
497,booth partners,Public Administration,"$10,000,000 to $49,999,999",498,21,,,,,
498,nestortechnologies com,"Professional, Scientific and Technical Services","Less than $1,000,000",499,21,,,,,
499,westpac banking,Banking and Financial Services,"Over $1,000,000,000",500,21,127.0,41.0,,,
500,netflix,Media and Entertainment,"Over $1,000,000,000",501,21,137.0,40.0,,,
501,syngenta ppm uae,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000",502,21,,,,,
502,nasa - national aeronautics space administration,Public Administration,"Over $1,000,000,000",503,21,,,,,
503,zf,Manufacturing,"Over $1,000,000,000",504,21,,,,,
504,smartasset advisors,,,505,21,,,,,
505,providenceindia in,Insurance,"$10,000,000 to $49,999,999",506,21,,,,,
506,university of vienna,,,507,21,,,,,
507,jio,Telecommunications,"Over $1,000,000,000",508,21,,,,,
508,rutgers business school,Educational Services,"Over $1,000,000,000",509,21,,,,,
509,disco,Computer and Electronic Product Manufacturing,"$1,000,000 to $9,999,999",510,21,,,,,
510,university of wisconsin-madison,Educational Services,"$200,000,000 to $499,999,999",511,21,,,,,
511,moodys,"Professional, Scientific and Technical Services","Over $1,000,000,000",512,21,,,,,
512,sky sport,Media and Entertainment,"Over $1,000,000,000",513,21,,,,,
513,factset research systems,"Professional, Scientific and Technical Services","Over $1,000,000,000",514,21,,,,,
514,hiroad,Insurance,"$1,000,000 to $9,999,999",515,21,,,,,
515,deutsche telekom services europe - slovakia,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",516,21,,,,,
516,hyundai motor,Manufacturing,"Over $1,000,000,000",517,21,139.0,40.0,,,
517,ekfrazo technologies,,Unknown,518,21,,,,,
518,twilio,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",519,21,,,,,
519,inside higher ed,,"$1,000,000 to $9,999,999",520,21,,,,,
520,exponentia ai,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",521,21,,,,,
521,first american,Insurance,"Over $1,000,000,000",522,21,,,,,
522,american airlines,Travel and Tourism,"Over $1,000,000,000",523,21,,,,,
523,defense information systems agency,,,524,21,,,,,
524,veolia,Utilities,"Over $1,000,000,000",525,21,,,,,
525,informatica,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",526,21,,,,,
526,epergnesolutions com,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",527,21,,,,,
527,latentbridge,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",528,21,,,,,
528,universidad santo tomas,Educational Services,"Less than $1,000,000",529,21,,,,,
529,penn foster,Educational Services,"$100,000,000 to $199,999,999",530,21,,,,,
530,kroger pharmacy,Retail Trade,"$200,000,000 to $499,999,999",531,21,,,,,
531,capinfo,,,532,21,,,,,
532,turing,Computer and Electronic Product Manufacturing,"$1,000,000 to $9,999,999",533,21,,,,,
533,daimler truck,Manufacturing,"Over $1,000,000,000",534,21,179.0,34.0,,,
534,blueshift brasil,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",535,21,,,,,
535,xpt software australia,,"$10,000,000 to $49,999,999",536,21,,,,,
536,creditxpert,,"$1,000,000 to $9,999,999",537,21,,,,,
537,u s department of veterans affairs,Public Administration,"Over $1,000,000,000",538,21,,,,,
538,programmez,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",539,21,,,,,
539,zillow,"Professional, Scientific and Technical Services","$500,000,000 to $999,999,999",540,21,,,,,
540,rapidbrains com,,,541,21,,,,,
541,aithenutrigene,,,542,21,,,,,
542,crowdstreet,Banking and Financial Services,"$10,000,000 to $49,999,999",543,21,,,,,
543,galaxeye space,Manufacturing,"$1,000,000 to $9,999,999",544,21,,,,,
544,themathcompany,,"$10,000,000 to $49,999,999",545,21,,,,,
545,intact assurance,Insurance,"Over $1,000,000,000",546,21,,,,,
546,nielsen,"Professional, Scientific and Technical Services","Over $1,000,000,000",547,21,,,,,
547,red ventures,"Professional, Scientific and Technical Services","Over $1,000,000,000",548,21,,,,,
548,rwsgroup in,Transportation and Warehousing,Unknown,549,21,,,,,
549,equinix,"Professional, Scientific and Technical Services","Over $1,000,000,000",550,21,,,,,
550,n-touch strategies,,,551,21,,,,,
551,snapx,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",552,21,,,,,
552,senzmate iot intelligence,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",553,21,,,,,
553,meta 3d studios,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",554,20,,,,,
554,eon-gridsolutions com,,,555,20,,,,,
555,kym advisors,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",556,20,,,,,
556,pacific gas electric,,,557,20,,,,,
557,elixir org in,Educational Services,"Less than $1,000,000",558,20,,,,,
558,recro,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",559,20,,,,,
559,pharmaforceiq,,,560,20,,,,,
560,cencora,Wholesale Trade,"Over $1,000,000,000",561,20,155.0,38.0,,,
561,evernorth health services,Industry Associations,Unknown,562,20,,,,,
562,boston university,Educational Services,"Over $1,000,000,000",563,20,,,,,
563,adeal systems,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",564,20,,,,,
564,united overseas bank,Banking and Financial Services,"Over $1,000,000,000",565,20,168.0,36.0,,,
565,3d technologies,Computer and Electronic Product Manufacturing,"$1,000,000 to $9,999,999",566,20,,,,,
566,itw cer,Manufacturing,"Over $1,000,000,000",567,20,,,,,
567,k raheja,,"$1,000,000 to $9,999,999",568,20,,,,,
568,ci t,"Professional, Scientific and Technical Services","$100,000,000 to $199,999,999",569,20,,,,,
569,affine in,Service Industry,"$10,000,000 to $49,999,999",570,20,,,,,
570,lattice,Computer and Electronic Product Manufacturing,"$50,000,000 to $99,999,999",571,20,,,,,
571,semantix brasil,"Professional, Scientific and Technical Services","$50,000,000 to $99,999,999",572,20,,,,,
572,beam data,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",573,20,,,,,
573,protosoft com sg,,,574,20,,,,,
574,sams west,Retail Trade,"Over $1,000,000,000",575,20,,,,,
575,shuvel net,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",576,20,,,,,
576,cargill incorporated,Wholesale Trade,"Over $1,000,000,000",577,20,,,,,
577,university of california berkeley,Educational Services,"Over $1,000,000,000",578,20,,,,,
578,compass uol,Telecommunications,"$50,000,000 to $99,999,999",579,20,,,,,
579,mitsubishi ufj financial,Banking and Financial Services,"Over $1,000,000,000",580,20,91.0,46.0,,,
580,wissen infotech,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",581,20,,,,,
581,ubiai tools,Computer and Electronic Product Manufacturing,"Less than $1,000,000",582,20,,,,,
582,endeavor global,Industry Associations,"$1,000,000 to $9,999,999",583,20,,,,,
583,ubc sauder school of business,Educational Services,"Over $1,000,000,000",584,20,,,,,
584,providence health services,Health Care and Social Assistance,"Over $1,000,000,000",585,20,,,,,
585,startree,Computer and Electronic Product Manufacturing,"$10,000,000 to $49,999,999",586,20,,,,,
586,united site services,Service Industry,"$500,000,000 to $999,999,999",587,20,,,,,
587,kinesso,Service Industry,"$10,000,000 to $49,999,999",588,20,,,,,
588,bmc software,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",589,20,,,,,
589,cloudcraftz,Computer and Electronic Product Manufacturing,"$1,000,000 to $9,999,999",590,20,,,,,
590,molina healthcare,Insurance,"Over $1,000,000,000",591,20,,,,,
591,hgs - hinduja global solutions,"Professional, Scientific and Technical Services","$500,000,000 to $999,999,999",592,20,,,,,
592,uc irvine,,"Over $1,000,000,000",593,20,,,,,
593,asurion,Insurance,"Over $1,000,000,000",594,20,,,,,
594,global,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",595,20,,,,,
595,ttec,"Professional, Scientific and Technical Services","Over $1,000,000,000",596,20,,,,,
596,corteva,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000",597,20,,,,,
597,kimberly-clark,Manufacturing,"Over $1,000,000,000",598,20,,,,,
598,acord,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",599,20,,,,,
599,advanced institute of information technology peking university,,"$10,000,000 to $49,999,999",600,20,,,,,
600,commonwealth bank,Banking and Financial Services,"Over $1,000,000,000",601,20,49.0,54.0,,,
601,amakshar com,,,602,20,,,,,
602,swiss re,Insurance,"Over $1,000,000,000",603,20,149.0,39.0,,,
603,irobot,Manufacturing,"Over $1,000,000,000",604,20,,,,,
604,shiru,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",605,20,,,,,
605,campus pride,Service Industry,"$1,000,000 to $9,999,999",606,20,,,,,
606,docsumo,Computer and Electronic Product Manufacturing,"$1,000,000 to $9,999,999",607,20,,,,,
607,harvard university,Educational Services,"Over $1,000,000,000",608,20,,,,,
608,volvo,Manufacturing,"Over $1,000,000,000",609,20,134.0,40.0,,,
609,cox automotive,Wholesale Trade,"Over $1,000,000,000",610,20,,,,,
610,epsoft technologies,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",611,20,,,,,
611,biolife plasma services l p,Health Care and Social Assistance,"$500,000,000 to $999,999,999",612,20,,,,,
612,cloudera,Computer and Electronic Product Manufacturing,"$500,000,000 to $999,999,999",613,20,,,,,
613,american honda motor,,,614,20,,,,,
614,grab,Travel and Tourism,"$200,000,000 to $499,999,999",615,20,,,,,
615,reuters news agency,Media and Entertainment,"$50,000,000 to $99,999,999",616,20,,,,,
616,assurant,Insurance,"Over $1,000,000,000",617,20,,,,,
617,mojro,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",618,20,,,,,
618,ciena,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",619,20,,,,,
619,hr university,Educational Services,"Less than $1,000,000",620,20,,,,,
620,astek,,"$10,000,000 to $49,999,999",621,20,,,,,
621,pryon,Computer and Electronic Product Manufacturing,"$10,000,000 to $49,999,999",622,20,,,,,
622,elevate textiles,Manufacturing,"Over $1,000,000,000",623,20,,,,,
623,lloyds banking,Banking and Financial Services,"Over $1,000,000,000",624,20,72.0,50.0,,,
624,kcf technologies,"Professional, Scientific and Technical Services",Unknown,625,20,,,,,
625,atlassian,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",626,20,,,,,
626,nova credit union,Banking and Financial Services,"$1,000,000 to $9,999,999",627,20,,,,,
627,rtwohealthcare com,Computer and Electronic Product Manufacturing,"$1,000,000 to $9,999,999",628,20,,,,,
628,ttecdigital com,"Professional, Scientific and Technical Services","$200,000,000 to $499,999,999",629,20,,,,,
629,southwest airlines,Travel and Tourism,"Over $1,000,000,000",630,20,,,,,
630,cognitiv,,"$1,000,000 to $9,999,999",631,20,,,,,
631,macquarie private wealth,Banking and Financial Services,"Over $1,000,000,000",632,20,,,,,
632,splunk,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",633,20,,,,,
633,veracity software,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",634,20,,,,,
634,deep abacus,Public Administration,"Less than $1,000,000",635,20,,,,,
635,moffettai com,,Unknown,636,20,,,,,
636,highmark health,Insurance,"Over $1,000,000,000",637,20,,,,,
637,ineuron ai,"Professional, Scientific and Technical Services","$50,000,000 to $99,999,999",638,20,,,,,
638,sumitomo mitsui banking - global,Banking and Financial Services,"Over $1,000,000,000",639,20,,,,,
639,loreal,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000",640,20,210.0,31.0,,,
640,synopsys,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",641,20,,,,,
641,papasiddhi - information technology,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",642,20,,,,,
642,hague tech,,,643,20,,,,,
643,callsimulator com,Computer and Electronic Product Manufacturing,"$1,000,000 to $9,999,999",644,20,,,,,
644,ing office,Banking and Financial Services,"Over $1,000,000,000",645,20,,,,,
645,unit8,Computer and Electronic Product Manufacturing,"$1,000,000 to $9,999,999",646,20,,,,,
646,university of chicago pritzker school of medicine,Educational Services,"Over $1,000,000,000",647,20,,,,,
647,scale ai,Computer and Electronic Product Manufacturing,"$50,000,000 to $99,999,999",648,20,,,,,
648,wpp,"Professional, Scientific and Technical Services","Over $1,000,000,000",649,20,,,,,
649,saama,"Professional, Scientific and Technical Services","$50,000,000 to $99,999,999",650,20,,,,,
650,cybercube,Computer and Electronic Product Manufacturing,"$1,000,000 to $9,999,999",651,20,,,,,
651,cognitive space,Manufacturing,"$1,000,000 to $9,999,999",652,20,,,,,
652,graphcore,Computer and Electronic Product Manufacturing,"$1,000,000 to $9,999,999",653,20,,,,,
653,encharge ai,,"Less than $1,000,000",654,20,,,,,
654,clavrit com,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999",655,20,,,,,
655,einride,Manufacturing,"$1,000,000 to $9,999,999",656,20,256.0,26.0,,,
656,nomadgao,,,657,20,,,,,
657,evidian - atos cyber security,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",658,20,,,,,
658,altana technologies,Computer and Electronic Product Manufacturing,"$10,000,000 to $49,999,999",659,20,,,,,
659,cyient,"Professional, Scientific and Technical Services","$500,000,000 to $999,999,999",660,20,,,,,
