rank,effectiveness,company,customer_satisfaction,employee_engagement,innovation,social_responsibility,financial_strength
137,58.8,PayPal Holdings Inc.,53.6,52.6,61.9,61.0,46.4
140,58.7,Zoetis Inc,55.2,55.7,55.6,59.4,51.8
141,58.5,Archer-Daniels-Midland Co,64.0,53.7,51.5,54.4,55.2
141,58.5,FedEx Corp,63.0,45.0,57.1,56.4,57.1
141,58.5,Synopsys Inc,55.2,58.4,56.5,55.1,52.8
144,58.4,Best Buy Co Inc,61.6,48.8,53.4,61.0,50.8
144,58.4,Texas Instruments Inc,51.7,60.9,47.7,63.1,54.1
146,58.2,Leidos Holdings Inc,53.6,54.6,60.2,56.5,51.2
146,58.2,Wells Fargo & Co,45.1,47.7,71.7,54.2,61.5
148,58.1,Campbell Soup Co,58.9,54.1,52.6,61.7,45.9
148,58.1,DuPont de Nemours Inc.,57.0,55.0,63.0,53.3,45.8
148,58.1,Kellanova,60.0,55.2,51.5,58.3,50.5
148,58.1,NetFlix Inc,48.5,58.2,68.6,48.5,54.9
152,58.0,FactSet Research System Inc,58.1,62.4,49.2,56.3,49.2
152,58.0,Humana Inc,60.1,56.8,53.6,55.9,48.0
154,57.9,Bank of New York Mellon Corp,53.1,47.2,62.4,62.6,47.2
154,57.9,Danaher Corp,57.1,54.0,54.0,60.7,47.5
156,57.8,Cigna Group,47.4,51.0,53.1,67.0,57.2
156,57.8,L3Harris Technologies Inc,57.7,51.3,52.1,65.1,44.7
156,57.8,Lululemon Athletica inc,57.3,63.4,52.3,49.3,55.9
159,57.7,Nasdaq Inc,55.4,62.3,46.2,63.1,44.7
159,57.7,Royal Caribbean Group,49.9,58.3,55.3,56.6,57.1
159,57.7,Travelers Cos Inc,53.2,63.0,47.0,55.7,59.5
162,57.6,Boeing Co,48.7,53.2,69.7,56.7,42.5
162,57.6,"Elevance Health, Inc.",42.9,54.5,48.6,72.3,56.3
164,57.5,AGCO Corp,50.2,55.9,62.9,57.1,46.1
164,57.5,"e.l.f. Beauty, Inc.",59.7,60.0,54.2,43.5,62.6
164,57.5,Texas Pacific Land Corporation,52.5,78.2,37.4,44.8,72.1
167,57.4,Arch Capital Group Ltd,46.6,62.3,60.4,46.6,64.4
168,57.2,Hess Corp,51.6,61.0,39.3,69.0,51.0
168,57.2,Progressive Corp,52.6,60.4,42.8,50.6,78.3
170,57.1,Delta Air Lines,50.9,64.9,58.4,46.5,55.7
171,56.9,ANSYS Inc,59.7,64.0,45.9,55.8,44.7
171,56.9,DexCom Inc,55.4,53.8,58.6,55.9,46.5
171,56.9,Juniper Networks Inc,51.5,60.9,46.9,64.4,45.9
174,56.7,Coty Inc.,57.1,50.9,55.0,59.6,46.2
174,56.7,McKesson Corp,55.3,52.9,48.2,52.8,69.8
176,56.6,Principal Financial Group,52.6,55.5,48.4,63.9,48.9
176,56.6,Stryker Corp,50.5,59.5,58.6,52.8,50.0
178,56.5,Aptiv plc,58.1,45.8,53.9,62.1,48.5
179,56.4,AFLAC Inc,51.4,49.9,55.1,57.5,59.0
179,56.4,Cognizant Tech Solutions Corp,54.3,52.9,54.9,57.2,50.5
181,56.3,Halliburton Co,48.0,52.0,68.0,51.6,50.9
181,56.3,LyondellBasell Industries N.V.,50.1,58.4,53.9,57.0,50.8
183,56.2,BlackRock Inc,51.7,60.2,52.5,55.5,49.7
183,56.2,Comcast Corp A,45.3,52.7,59.0,56.8,58.8
185,56.1,Illinois Tool Works Inc,55.2,44.9,62.6,52.2,56.4
186,56.0,Avery Dennison Corp,63.9,50.1,49.6,56.3,47.5
186,56.0,Baxter Intl Inc,54.5,49.6,54.6,63.7,41.8
186,56.0,"Block, Inc. A",57.4,54.0,69.1,44.6,41.4
186,56.0,Electronic Arts,53.5,54.5,55.4,56.8,47.5
186,56.0,MSCI Inc,51.1,62.8,45.9,57.9,52.2
191,55.9,Otis Worldwide Corp,61.1,49.9,43.0,58.0,59.4
191,55.9,Paychex Inc,55.4,45.1,61.8,52.1,55.9
191,55.9,Thermo Fisher Scientific,53.4,50.0,54.4,58.9,51.8
194,55.7,Gartner Inc,60.3,61.3,44.9,49.4,55.1
194,55.7,Lennox International Inc,59.2,51.3,43.7,57.0,60.4
194,55.7,Yum! Brands Inc,40.2,60.5,52.9,58.2,60.4
197,55.6,Bath & Body Works Inc,51.9,50.6,66.8,48.8,49.8
197,55.6,Carrier Global Corp.,58.3,40.5,57.5,59.5,50.5
199,55.5,Hologic Inc,60.8,52.1,51.6,55.3,45.2
199,55.5,Interpublic Group Cos,55.8,47.4,49.8,64.4,47.3
199,55.5,PPG Industries Inc,49.5,43.2,65.7,59.0,47.6
199,55.5,"Tesla, Inc",56.2,44.6,61.6,47.1,63.0
203,55.4,Fortinet Inc,59.8,56.4,47.0,51.2,55.0
203,55.4,Micron Technology Inc,51.2,52.3,51.9,62.7,46.3
203,55.4,Williams-Sonoma Inc,55.4,38.8,54.2,61.4,58.3
206,55.3,"Tapestry, Inc",57.8,56.2,48.4,54.7,49.6
207,55.1,GoDaddy Inc A,52.9,51.5,51.4,52.4,63.2
207,55.1,Intl Flavors & Fragrances,63.2,46.3,56.2,56.4,38.5
209,55.0,Nucor Corp,60.7,66.2,45.6,43.1,53.4
209,55.0,WESCO Intl Inc,51.1,46.4,58.2,60.1,48.1
211,54.9,Lincoln Electric Hldgs,62.4,43.7,53.0,54.0,52.4
212,54.8,AES Corp,41.7,59.8,55.2,61.7,44.0
212,54.8,FTI Consulting,49.4,59.0,56.1,50.9,50.8
212,54.8,Kraft Heinz Company,55.9,47.8,60.3,52.5,47.1
212,54.8,ResMed Inc,51.6,58.1,53.9,52.4,49.5
212,54.8,Southern Co,50.5,58.7,56.0,50.1,51.0
217,54.7,J.M. Smucker Co,56.2,50.9,58.8,51.5,45.8
217,54.7,Southwest Airlines Co,49.6,60.5,59.7,49.7,44.0
217,54.7,Western Digital Corp,56.4,47.5,52.5,61.5,42.7
220,54.6,Lowe’s Cos Inc,53.2,46.0,50.5,57.9,59.8
220,54.6,Science Applications International Corp,55.3,55.7,56.8,47.5,50.2
222,54.5,Chubb Limited,53.5,49.8,55.5,48.0,62.5
222,54.5,HubSpot Inc,55.1,62.0,44.3,58.1,41.6
224,54.4,Ingredion Inc,51.2,48.0,62.6,51.8,50.0
224,54.4,Prudential Financial Inc,51.5,48.3,49.0,58.4,59.7
224,54.4,Pulte Group Inc,63.7,55.8,41.8,45.6,63.1
227,54.3,Crown Holdings Inc,61.6,46.7,47.0,59.6,45.9
227,54.3,Morningstar,51.6,57.9,46.1,59.3,47.2
229,54.2,Chevron Corp,25.9,60.1,66.3,53.6,63.3
229,54.2,Republic Services Inc,56.6,45.4,52.2,56.8,52.0
229,54.2,Tractor Supply Co,64.9,42.0,47.3,55.9,53.2
229,54.2,Verisk Analytics Inc,57.5,53.9,47.8,50.5,56.4
233,54.1,Consolidated Edison Inc,37.9,56.9,65.7,53.7,48.6
233,54.1,Goldman Sachs Group Inc,56.5,51.8,47.4,56.7,50.1
233,54.1,INSULET CORP,53.3,50.8,53.4,56.5,47.2
233,54.1,Morgan Stanley,50.1,55.9,52.6,54.4,50.1
