rank,company,ticker,industry,city,state,country,revenue,profit,assets,employees
257,Edeka Zentrale,~,Wholesalers: Food and Grocery,Hamburg,~,Germany,$54.45B,$461.7M,$11.96B,410.7K
258,Bharat Petroleum,~,Petroleum Refining,Mumbai,~,India,$54.41B,$3.25B,$24.29B,8.51K
259,AbbVie,ABBV,Pharmaceuticals,North Chicago,Illinois,U.S.,$54.32B,$4.86B,$134.71B,50K
260,New York Life Insurance,~,"Insurance: Life, Health (Mutual)",New York,New York,U.S.,$54.32B,$804.6M,$408.9B,15.38K
261,Intel,INTC,Semiconductors and Other Electronic Components,Santa Clara,California,U.S.,$54.23B,$1.69B,$191.57B,124.8K
262,TJX,TJX,Specialty Retailers,Framingham,Massachusetts,U.S.,$54.22B,$4.47B,$29.75B,349K
263,Novartis,NVS,Pharmaceuticals,Basel,~,Switzerland,$54.09B,$14.85B,$99.94B,76.06K
264,Rio Tinto Group,RIO,"Mining, Crude-Oil Production",London,~,Britain,$54.04B,$10.06B,$103.55B,57.17K
265,Tsingshan Holding Group,~,Metals,Wenzhou,~,China,$53.98B,$1.55B,$20.65B,107.81K
266,Prudential Financial,PRU,"Insurance: Life, Health (stock)",Newark,New Jersey,U.S.,$53.98B,$2.49B,$721.12B,40.37K
267,COSCO Shipping,~,Shipping,Shanghai,~,China,$53.93B,$3.58B,$151.54B,106.22K
268,BHP Group,BHP,"Mining, Crude-Oil Production",Melbourne,~,Australia,$53.82B,$12.92B,$101.3B,42.32K
269,HP,HPQ,"Computers, Office Equipment",Palo Alto,California,U.S.,$53.72B,$3.26B,$37B,58K
270,United Airlines Holdings,UAL,Airlines,Chicago,Illinois,U.S.,$53.72B,$2.62B,$71.1B,103.3K
271,Tata Motors,~,Motor Vehicles & Parts,Mumbai,~,India,$53.63B,$3.79B,$44.48B,91.5K
272,Performance Food Group,PFGC,Wholesalers: Food and Grocery,Richmond,Virginia,U.S.,$53.35B,$397.2M,$12.5B,34.83K
273,Iberdrola,IBDRY,Utilities,Bilbao,~,Spain,$53.33B,$5.19B,$165.71B,41.45K
274,Deutsche Bahn,~,Railroads,Berlin,~,Germany,$53.2B,$-2.57B,$85.57B,326.78K
275,Idemitsu Kosan,IDKOY,Petroleum Refining,Tokyo,~,Japan,$53.04B,$1.58B,$33.15B,16.57K
276,Tyson Foods,TSN,Food Production,Springdale,Arkansas,U.S.,$52.88B,$-648M,$36.25B,139K
277,Midea Group,~,"Electronics, Electrical Equip.",Foshan,~,China,$52.79B,$4.76B,$68.48B,198.61K
278,American Airlines Group,AAL,Airlines,Fort Worth,Texas,U.S.,$52.79B,$822M,$63.06B,132.1K
279,China United Network Communications,~,Telecommunications,Beijing,~,China,$52.63B,$1.15B,$93.39B,242.89K
280,Liberty Mutual Insurance Group,~,Insurance: Property and Casualty (Stock),Boston,Massachusetts,U.S.,$52.61B,$213M,$165.21B,45K
281,Bank of Nova Scotia,BNS,Banks: Commercial and Savings,Toronto,~,Canada,$52.54B,$5.5B,$1.02T,89.48K
282,Volvo,VLVLY,Motor Vehicles & Parts,Gothenburg,~,Sweden,$52.1B,$4.7B,$66.91B,97.44K
283,Intesa Sanpaolo,ISNPY,Banks: Commercial and Savings,Turin,~,Italy,$52B,$8.35B,$1.06T,94.37K
284,Saint-Gobain,CODYY,"Building Materials, Glass",Courbevoie,~,France,$51.83B,$2.92B,$63.29B,144.42K
285,Shaanxi Yanchang Petroleum (Group),~,"Mining, Crude-Oil Production",Xian,~,China,$51.53B,$997.3M,$68.4B,130.43K
286,Bayer,BAYRY,Pharmaceuticals,Leverkusen,~,Germany,$51.5B,$-3.18B,$128.41B,99.72K
287,Tokio Marine Holdings,TKOMY,Insurance: Property and Casualty (Stock),Tokyo,~,Japan,$51.37B,$4.81B,$202.32B,43.87K
288,Nike,NKE,Apparel,Beaverton,Oregon,U.S.,$51.22B,$5.07B,$37.53B,83.7K
289,Maersk Group,AMKBY,Shipping,Copenhagen,~,Denmark,$51.06B,$3.82B,$82.1B,105.91K
290,Phoenix Pharma,~,Wholesalers: Health Care,Mannheim,~,Germany,$50.93B,$234.6M,$15.54B,41.28K
291,Greenland Holding Group,~,Real estate,Shanghai,~,China,$50.9B,$-1.35B,$168.21B,59.97K
292,Shanghai Pudong Development Bank,~,Banks: Commercial and Savings,Shanghai,~,China,$50.86B,$5.18B,$1.27T,63.58K
293,Louis Dreyfus,~,Food Production,Rotterdam,~,Netherlands,$50.62B,$1.01B,$22.08B,17.02K
294,Bank of Montreal,BMO,Banks: Commercial and Savings,Toronto,~,Canada,$50.49B,$3.24B,$931.89B,55.77K
295,ZF Friedrichshafen,~,Motor Vehicles & Parts,Friedrichshafen,~,Germany,$50.41B,$-33.5M,$43.26B,165.94K
296,KB Financial Group,KB,Banks: Commercial and Savings,Seoul,~,South Korea,$50.23B,$3.55B,$552.51B,25K
297,Sanofi,SNY,Pharmaceuticals,Paris,~,France,$50.21B,$5.84B,$139.68B,86.09K
298,Marubeni,MARUY,Trading,Tokyo,~,Japan,$50.17B,$3.26B,$59.01B,53.8K
299,Oracle,ORCL,Computer Software,Austin,Texas,U.S.,$49.95B,$8.5B,$134.38B,164K
300,Jinchuan Group,~,Metals,Jinchang City,~,China,$49.9B,$1.36B,$21.78B,31.02K
301,Swiss Re,SSREY,Insurance: Property and Casualty (Stock),Zurich,~,Switzerland,$49.8B,$3.21B,$179.58B,14.72K
302,Chubb,CB,Insurance: Property and Casualty (Stock),Zurich,~,Switzerland,$49.73B,$9.03B,$230.68B,40K
303,Enterprise Products Partners,EPD,Pipelines,Houston,Texas,U.S.,$49.72B,$5.53B,$70.98B,7.5K
304,Capital One Financial,COF,Banks: Commercial and Savings,McLean,Virginia,U.S.,$49.48B,$4.89B,$478.46B,51.99K
305,Denso,DNZOY,Motor Vehicles & Parts,Kariya,~,Japan,$49.44B,$2.16B,$60.13B,162.03K
306,HDFC Bank,~,Banks: Commercial and Savings,Mumbai,~,India,$49.3B,$7.74B,$483.58B,213.53K
307,China National Building Material Group,~,"Building Materials, Glass",Beijing,~,China,$49.09B,$198.2M,$99.34B,206.52K
308,Veolia Environnement,VEOEY,Utilities,Aubervilliers,~,France,$49.03B,$1.01B,$80.15B,218.29K
309,China State Shipbuilding,~,Shipping,Shanghai,~,China,$48.89B,$2.41B,$143.71B,196.31K
310,Vodafone Group,VOD,Telecommunications,Newbury,~,Britain,$48.87B,$1.24B,$155.75B,96.28K
311,Plains GP Holdings,PAGP,Pipelines,Houston,Texas,U.S.,$48.71B,$198M,$28.6B,4.2K
