indexname,gvkey,tic,companyname
S&P 500,024617,ODFL,"Old Dominion Freight Line, Inc."
S&P 500,004066,OMC,Omnicom Group Inc.
S&P 500,012142,ORCL,Oracle Corporation
S&P 500,036190,OTIS,Otis Worldwide Corporation
S&P 500,008253,PCAR,PACCAR Inc
S&P 500,008264,PCG,PG&E Corporation
S&P 500,008247,PPG,"PPG Industries, Inc."
S&P 500,008455,PPL,PPL Corporation
S&P 500,018699,PTC,PTC Inc.
S&P 500,128978,PKG,Packaging Corporation of America
S&P 500,036910,PLTR,Palantir Technologies Inc.
S&P 500,171067,PANW,"Palo Alto Networks, Inc."
S&P 500,013714,PSKY,Paramount Skydance Corporation
S&P 500,008358,PH,Parker-Hannifin Corporation
S&P 500,024616,PYPL,"PayPal Holdings, Inc."
S&P 500,008402,PAYX,"Paychex, Inc."
S&P 500,008463,PNR,Pentair plc
S&P 500,008479,PEP,"PepsiCo, Inc."
S&P 500,008530,PFE,Pfizer Inc.
S&P 500,179621,PM,Philip Morris International Inc.
S&P 500,170841,PSX,Phillips 66
S&P 500,001075,PNW,Pinnacle West Capital Corporation
S&P 500,145701,PFG,"Principal Financial Group, Inc."
S&P 500,029984,PLD,"Prologis, Inc."
S&P 500,143356,PRU,"Prudential Financial, Inc."
S&P 500,008810,PEG,Public Service Enterprise Group Incorporated
S&P 500,010096,PSA,Public Storage
S&P 500,008823,PHM,"PulteGroup, Inc."
S&P 500,024800,QCOM,QUALCOMM Incorporated
S&P 500,074813,Q,"Qnity Electronics, Inc."
S&P 500,066446,PWR,"Quanta Services, Inc."
S&P 500,064166,DGX,Quest Diagnostics Incorporated
S&P 500,010983,RTX,RTX Corporation
S&P 500,064891,RL,Ralph Lauren Corporation
S&P 500,008898,RJF,"Raymond James Financial, Inc."
S&P 500,030822,O,Realty Income Corporation
S&P 500,029099,REG,Regency Centers Corporation
S&P 500,023812,REGN,"Regeneron Pharmaceuticals, Inc."
S&P 500,004674,RF,Regions Financial Corporation
S&P 500,112168,RSG,"Republic Services, Inc."
S&P 500,031887,RMD,ResMed Inc.
S&P 500,004145,RVTY,"Revvity, Inc."
S&P 500,039293,HOOD,"Robinhood Markets, Inc."
S&P 500,009203,ROK,"Rockwell Automation, Inc."
S&P 500,009225,ROL,"Rollins, Inc."
S&P 500,024925,ROP,"Roper Technologies, Inc."
S&P 500,009248,ROST,"Ross Stores, Inc."
S&P 500,028191,RCL,Royal Caribbean Cruises Ltd.
S&P 500,007163,SPGI,S&P Global Inc.
S&P 500,121382,SBAC,SBA Communications Corporation
S&P 500,009465,SLB,SLB N.V.
S&P 500,025313,STE,STERIS plc
S&P 500,157855,CRM,"Salesforce, Inc."
S&P 500,051008,SNDK,Sandisk Corporation
S&P 500,150937,STX,Seagate Technology Holdings plc
S&P 500,008272,SRE,Sempra
S&P 500,171007,NOW,"ServiceNow, Inc."
S&P 500,029389,SPG,"Simon Property Group, Inc."
S&P 500,001327,SWKS,"Skyworks Solutions, Inc."
S&P 500,283184,SW,Smurfit Westrock Plc
S&P 500,009778,SNA,Snap-on Incorporated
S&P 500,045167,SOLV,Solventum Corporation
S&P 500,009882,LUV,Southwest Airlines Co.
S&P 500,010016,SWK,"Stanley Black & Decker, Inc."
S&P 500,025434,SBUX,Starbucks Corporation
S&P 500,010035,STT,State Street Corporation
S&P 500,064030,STLD,"Steel Dynamics, Inc."
S&P 500,010115,SYK,Stryker Corporation
S&P 500,176567,SMCI,"Super Micro Computer, Inc."
S&P 500,020686,SYF,Synchrony Financial
S&P 500,024975,SNPS,"Synopsys, Inc."
S&P 500,010247,SYY,Sysco Corporation
S&P 500,017874,TMUS,"T-Mobile US, Inc."
S&P 500,012138,TROW,"T. Rowe Price Group, Inc."
S&P 500,177267,TEL,TE Connectivity plc
S&P 500,125240,TKO,"TKO Group Holdings, Inc."
S&P 500,064630,TTWO,"Take-Two Interactive Software, Inc."
S&P 500,140541,TPR,"Tapestry, Inc."
S&P 500,185532,TRGP,Targa Resources Corp.
S&P 500,003813,TGT,Target Corporation
S&P 500,126721,TDY,Teledyne Technologies Incorporated
S&P 500,010453,TER,"Teradyne, Inc."
S&P 500,184996,TSLA,"Tesla, Inc."
S&P 500,010499,TXN,Texas Instruments Incorporated
S&P 500,010504,TPL,Texas Pacific Land Corporation
S&P 500,010519,TXT,Textron Inc.
S&P 500,024216,AES,The AES Corporation
S&P 500,028349,ALL,The Allstate Corporation
S&P 500,002019,BNY,The Bank of New York Mellon Corporation
S&P 500,002285,BA,The Boeing Company
S&P 500,013988,SCHW,The Charles Schwab Corporation
S&P 500,002547,CI,The Cigna Group
S&P 500,003121,CLX,The Clorox Company
S&P 500,003144,KO,The Coca-Cola Company
S&P 500,003504,COO,"The Cooper Companies, Inc."
S&P 500,061567,EL,The Estée Lauder Companies Inc.
S&P 500,114628,GS,"The Goldman Sachs Group, Inc."
S&P 500,061739,HIG,"The Hartford Insurance Group, Inc."
S&P 500,005597,HSY,The Hershey Company
S&P 500,005680,HD,"The Home Depot, Inc."
S&P 500,009777,SJM,The J. M. Smucker Company
S&P 500,005568,KHC,The Kraft Heinz Company
S&P 500,006502,KR,The Kroger Co.
S&P 500,162129,MOS,The Mosaic Company
